nofrills,20143381001_KG,$6.59/1kg $2.99/1lb
loblaw,21097786001_EA,340 g, $3.53/100g
loblaw,21024144_EA,300 g, $4.66/100g
loblaw,20319243004_EA,567 g, $1.06/100g
loblaw,21106355_EA,150 ml, $7.33/100ml
loblaw,20103512004_EA,170 g, $2.35/100g
loblaw,21548026_EA,500 g, $2.00/100g
loblaw,20986330_EA,270 g, $8.51/100g
loblaw,21475853_EA,50 g, $75.98/100g
loblaw,20003932_EA,13 g, $69.15/100g
loblaw,20681397_EA,900 g, $1.44/100g
loblaw,21569642_EA,300 g, $6.66/100g
loblaw,21026041_EA,1.42 l, $0.53/100ml
loblaw,20081240_EA,52 g, $7.67/100g
loblaw,20583555_C06,6x500.0 ml, $0.53/100ml
loblaw,21289745_EA,400 g, $1.50/100g
loblaw,20699832_EA,227 g, $1.76/100g
loblaw,20565119002_EA,48 ml, $8.94/100ml
loblaw,21477064_EA,216 g, $5.09/100g
loblaw,20431483002_EA,600 g, $1.42/100g
loblaw,21512624_C04,4x275.0 ml, $1.27/100ml
loblaw,21448637_C24,24x591.0 ml, $0.16/100ml
nofrills,21237534_EA,105 g, $2.37/100g
nofrills,20123211_EA,119 g, $6.29/100g
nofrills,21175259_EA,8x200.0 ml, $0.22/100ml
nofrills,20303954_EA,300 g, $2.83/100g
nofrills,21334858_EA,635 ml, $1.89/100ml
nofrills,20164563001_KG,$2.18/1kg $0.99/1lb
nofrills,20308197006_C24,24x355.0 ml, $0.14/100ml
nofrills,21204887_EA,15 l, $0.03/100ml
nofrills,20152032_EA,48 g, $9.35/100g
nofrills,20573910_EA,200 g, $3.65/100g
nofrills,20799522_EA,800 g, $0.36/100g
nofrills,20099523_EA,946 ml, $0.74/100ml
nofrills,20085214_EA,1 l, $0.47/100ml
nofrills,21091455_EA,600 g, $3.63/100g
nofrills,21556235_EA,98 g, $4.38/100g
nofrills,20873128_EA,100 g, $1.25/100g
nofrills,20037838_EA,1.36 l, $0.29/100ml
nofrills,21404733_EA,907 g, $1.65/100g
nofrills,20415811_EA,280 g, $3.57/100g
nofrills,21334830_EA,300 g, $1.66/100g
nofrills,21074199_EA,480 ml, $1.35/100ml
nofrills,20771363_EA,350 g, $3.43/100g
nofrills,21335159_EA,341 g, $1.17/100g
nofrills,21428873_EA,90 g, $3.88/100g
nofrills,21021565_EA,227 g, $1.32/100g
nofrills,21541919_EA,750 ml, $1.00/100ml
nofrills,20347440002_EA,1.75 l, $0.16/100ml
nofrills,20306914001_EA,2 l, $0.13/100ml
nofrills,21311220_EA,80 g, $4.99/100g
nofrills,20679863_EA,1010 g, $0.99/100g
nofrills,20559023_EA,133 g, $3.38/100g
nofrills,21204304_EA,0.34 kg, $0.88/100g
nofrills,21358221_EA,145 g, $1.72/100g
nofrills,20313447005_EA,540 ml, $0.33/100ml
nofrills,20050622_EA,340 g, $1.47/100g
nofrills,21448996_EA,285 g, $2.10/100g
nofrills,20647401_EA,375 g, $1.20/100g
nofrills,21391610_EA,180 g, $1.38/100g
nofrills,20315520006_EA,175 g, $1.71/100g
nofrills,20113745_EA,198 g, $0.90/100g
nofrills,20287738_EA,600 g, $1.83/100g
nofrills,21120891_EA,75 g, $5.32/100g
nofrills,20554594_EA,540 ml, $0.28/100ml
nofrills,21082500_EA,350 g, $1.43/100g
nofrills,20540264_EA,540 ml, $0.31/100ml
nofrills,20025468_EA,185 g, $2.37/100g
nofrills,20418486_EA,120 g, $3.58/100g
loblaw,20894117005_EA,960 ml, $0.31/100ml
loblaw,20974056_KG,$15.41/1kg $6.99/1lb
loblaw,21333102_C01,98 g, $6.62/100g
loblaw,21598475_EA,400 g, $1.50/100g
loblaw,21387722_EA,90 ea, $0.30/1ea
loblaw,20922564_EA,365 g, $3.42/100g
loblaw,20981839_EA,190 g, $8.42/100g
loblaw,21559837_EA,800 g, $0.56/100g
loblaw,21542161_EA,250 g, $2.40/100g
loblaw,21203794_EA,20 ea, $0.30/1ea
loblaw,20666187_EA,946 ml, $0.37/100ml
loblaw,20301101004_EA,468 g, $1.11/100g
loblaw,21585063_EA,261 g, $1.34/100g
loblaw,21448124_EA,237 ml, $1.68/100ml
loblaw,20725799_EA,517 ml, $1.55/100ml
loblaw,21314906_EA,10 ea, $0.75/1ea
loblaw,21504264_EA,100 ml, $24.99/100ml
loblaw,20731439_EA,200 g, $0.90/100g
loblaw,21580456_EA,50 g, $14.98/100g
loblaw,21496258_EA,212 g, $1.89/100g
loblaw,21435407_EA,360 ml, $1.80/100ml
loblaw,21290683_EA,200 g, $2.50/100g
loblaw,21455729_EA,148 ml, $4.72/100ml
loblaw,20608170_EA,340 ml, $3.82/100ml
loblaw,21471855_EA,415 g, $0.84/100g
loblaw,21594521_EA,200 g, $1.65/100g
loblaw,20326306002_EA,32 g, $18.72/100g
loblaw,20419066002_EA,227 g, $1.76/100g
loblaw,21533493_KG,$24.90/1kg $11.30/1lb
loblaw,20097561_KG,$41.87/1kg $19.00/1lb
loblaw,21367830_C06,6x500.0 ml, $0.27/100ml
loblaw,20179819_EA,355 ml, $1.69/100ml
loblaw,21094883_EA,600 g, $2.75/100g
loblaw,21290128_EA,500 ml, $1.20/100ml
loblaw,20081342024_EA,900 g, $0.37/100g
loblaw,20769381_EA,230 g, $4.13/100g
loblaw,20937902_EA,250 g, $4.00/100g
loblaw,20696475_EA,162 g, $0.01/100g
loblaw,20045571002_EA,500 g, $0.90/100g
loblaw,20975428_EA,117 g, $6.83/100g
loblaw,20793562_EA,800 g, $2.62/100g
loblaw,21087023_EA,450 g, $5.33/100g
loblaw,21499820_EA,10 ea, $0.80/1ea
loblaw,21436627_C04,4x330.0 ml, $0.53/100ml
loblaw,21311098_KG,$52.90/1kg $24.00/1lb
loblaw,20689673_EA,290 ml, $2.58/100ml
loblaw,21570400_EA,20 ea, $0.50/1ea
loblaw,21219720_EA,1 kg, $1.03/100g
nofrills,20299161_EA,355 ml, $1.41/100ml
nofrills,21237263_EA,120 g, $2.08/100g
nofrills,21099500_C06,6x330.0 ml, $0.61/100ml
nofrills,20103117_EA,283 g, $1.06/100g
nofrills,21104053_EA,326 g, $1.06/100g
nofrills,20875142_EA,50 g, $3.99/50g
nofrills,21114397_EA,340 g, $1.47/100g
nofrills,20618823_EA,796 ml, $0.35/100ml
nofrills,21485288_EA,54 g, $4.61/100g
nofrills,20183964001_EA,750 ml, $0.36/100ml
nofrills,21531303_EA,245 ml, $1.34/100ml
nofrills,21018461_EA,10x200.0 ml, $0.15/100ml
nofrills,21433485_EA,200 g, $1.65/100g
nofrills,20301064003_EA,900 g, $0.67/100g
nofrills,20563014_EA,375 ml, $0.80/100ml
nofrills,20863239_EA,250 ml, $2.40/100ml
nofrills,20022328008_EA,396 g, $1.01/100g
nofrills,21580854_EA,100 g, $3.29/100g
nofrills,20866052001_EA,650 ml, $0.54/100ml
nofrills,20788062002_EA,500 g, $0.67/100g
nofrills,20309672003_EA,12 ea, $0.08/1ea
nofrills,20618772_EA,125 g, $1.99/100g
nofrills,21346817_EA,100 g, $2.49/100g
nofrills,21362407_EA,3x186.0 g, $0.39/100g
nofrills,21513183_EA,450 ml, $1.22/100ml
nofrills,21438314_EA,122 g, $5.98/100g
nofrills,20618884_EA,796 ml, $0.35/100ml
nofrills,20296401_EA,341 ml, $0.37/100ml
nofrills,21214559_EA,191 g, $1.83/100g
nofrills,21158591_EA,425 g, $1.29/100g
nofrills,20316056_EA,355 ml, $1.41/100ml
nofrills,21031310_EA,141 g, $2.12/100g
nofrills,20583715_EA,200 g, $4.50/100g
nofrills,20046006_EA,454 g, $0.50/100g
nofrills,20833968_EA,340 g, $2.35/100g
nofrills,20166206_EA,250 ml, $0.32/100ml
nofrills,20322093001_EA,1680 g, $0.74/100g
nofrills,20378142_EA,600 g, $2.50/100g
nofrills,21004489001_EA,450 g, $2.44/100g
nofrills,20305535006_EA,398 ml, $1.33/100ml
nofrills,20314667004_EA,150 g, $0.99/100g
nofrills,21604812_EA,0.45 kg, $1.89/100g
nofrills,20844075_EA,150 g, $0.86/100g
nofrills,21022221_EA,600 g, $1.48/100g
nofrills,20077385001_KG,$1.30/1kg $0.59/1lb
nofrills,20314592_EA,355 ml, $1.41/100ml
nofrills,21437106_C12,12x355.0 ml, $0.16/100ml
nofrills,21589335_C04,4x355.0 ml, $0.49/100ml
loblaw,21186514_EA,55 g, $5.44/100g
loblaw,21450731_EA,35 g, $8.54/100g
loblaw,21406950_EA,1 kg, $1.40/100g
loblaw,20552134001_EA,283 ml, $0.53/100ml
loblaw,21379941_EA,1000 ml, $0.38/100ml
loblaw,21167940_EA,4.25 g, $211.53/100g
loblaw,21575076_EA,710 g, $0.99/100g
loblaw,20903645001_EA,50 g, $4.98/100g
loblaw,20006325001_EA,750 ml, $0.67/100ml
loblaw,21027587_EA,500 ml, $5.80/100ml
loblaw,21056261_EA,200 g, $2.50/100g
loblaw,21382026_EA,50 g, $8.98/100g
loblaw,21040487_EA,370 ml, $0.67/100ml
loblaw,20983856_EA,250 g, $2.40/100g
loblaw,21520498_EA,283 g, $2.65/100g
loblaw,20300740003_EA,20 ea, $0.30/1ea
loblaw,21429117_EA,8x93.0 ml, $1.14/100ml
loblaw,21439276_EA,1 l, $0.90/100ml
loblaw,20422490_EA,900 g, $1.44/100g
loblaw,20067807_KG,$3.29/100g $14.93/1lb
loblaw,21394820_EA,112 g, $17.85/100g
loblaw,21387576_EA,140 g, $3.06/100g
loblaw,21410300_EA,1.7 kg, $1.71/100g
loblaw,21368816_EA,79 g, $9.48/100g
loblaw,20811869_EA,90 ea, $0.40/1ea
loblaw,21538225_EA,900 g, $2.22/100g
loblaw,21518071_EA,175 g, $2.28/100g
loblaw,21507494_EA,80 g, $7.49/100g
loblaw,21393724_EA,100 g, $7.49/100g
loblaw,21591697_EA,1.5 l, $0.63/100ml
loblaw,21574381_EA,400 ml, $0.75/100ml
loblaw,20871867002_C06,6x236.0 ml, $0.63/100ml
loblaw,21596532_EA,300 g, $2.33/100g
loblaw,20022119_EA,1.2 kg, $1.00/100g
loblaw,20822128_EA,141 g, $1.27/100g
loblaw,21569947_EA,85 g, $7.05/100g
loblaw,20084686_EA,105 g, $2.66/100g
loblaw,21486414_EA,1 ea, $11.00/1ea
loblaw,20937902_EA,250 g, $4.00/100g
loblaw,20696475_EA,162 g, $0.01/100g
loblaw,20045571002_EA,500 g, $0.90/100g
loblaw,20975428_EA,117 g, $6.83/100g
loblaw,20793562_EA,800 g, $2.62/100g
loblaw,21087023_EA,450 g, $5.33/100g
loblaw,21499820_EA,10 ea, $0.80/1ea
loblaw,21436627_C04,4x330.0 ml, $0.53/100ml
loblaw,21311098_KG,$52.90/1kg $24.00/1lb
loblaw,20689673_EA,290 ml, $2.58/100ml
nofrills,21589335_C04,4x355.0 ml, $0.49/100ml
nofrills,20314592_EA,355 ml, $1.41/100ml
nofrills,21437106_C12,12x355.0 ml, $0.16/100ml
nofrills,20524922001_KG,$5.49/1kg $2.49/1lb
nofrills,20309672002_EA,12 ea, $0.08/1ea
nofrills,21559339_EA,680 g, $1.62/100g
nofrills,20118251001_EA,1 bunch, $3.99/1ea
nofrills,21212482_EA,28 g
nofrills,20809866_EA,680 g, $1.47/100g
nofrills,21574974_EA,300 g, $3.33/100g
nofrills,21127686_EA,140 g, $6.42/100g
nofrills,20079976006_EA,10x180.0 ml, $0.16/100ml
nofrills,21157321001_EA,1 ea, $3.33/100g
nofrills,21087137001_EA,170 g, $4.70/100g
nofrills,21241822_C04,4x250.0 ml, $1.00/100ml
nofrills,20968510001_KG,$8.80/1kg $3.99/1lb
nofrills,21437314_EA,5 kg, $1.00/100g
nofrills,21574921_EA,2 l, $0.21/100ml
nofrills,20117362001_EA,454 g, $1.10/100g
nofrills,20149995001_KG,$8.80/1kg $3.99/1lb
nofrills,20146539_EA,2.27 kg, $0.22/100g
nofrills,20180935_EA,500 g, $0.80/100g
nofrills,21164067_EA,946 ml, $1.69/100ml
nofrills,20113382001_KG,$5.49/1kg $2.49/1lb
nofrills,20325274001_KG,$4.39/1kg $1.99/1lb
nofrills,21575820001_EA,1 ea, $6.00/1ea
nofrills,20045276001_EA,1 ea, $5.99/1ea
nofrills,20078077_EA,375 g, $2.93/100g
nofrills,20188951_EA,454 g, $1.10/100g
nofrills,21547841_EA,375 g, $0.48/100g
nofrills,21335844_EA,0.212 g, $1.89/100g
nofrills,20121461_EA,1 kg, $1.30/100g
nofrills,20941724_EA,250 ml, $0.32/100ml
nofrills,20959677_EA,227 g, $0.88/100g
nofrills,20812726001_EA,12 eggs, $0.38/1ea
nofrills,20633115_EA,0.954 kg, $0.94/100g
nofrills,20702497_EA,250 ml, $1.20/100ml
nofrills,20172664004_EA,326 g, $1.32/100g
nofrills,20859140_EA,227 g, $2.20/100g
nofrills,21050564001_EA,907 g, $0.88/100g
nofrills,20044159_EA,1 ea, $10.99/1ea
nofrills,20743653_EA,227 g, $1.23/100g
nofrills,20966838001_EA,680 g, $1.18/100g
nofrills,21209120_EA,1 ea, $44.29/1ea
nofrills,20601017001_EA,4.54 kg, $0.15/100g
nofrills,21184886_EA,28 g
nofrills,21184838_EA,28 g
nofrills,20062963_EA,454 g, $0.99/100g
loblaw,20065214_EA,264 g, $3.03/100g
loblaw,20309358001_EA,375 g, $1.46/100g
loblaw,21361957_EA,132 g, $3.78/100g
loblaw,21589474_C04,4x355.0 ml, $0.63/100ml
loblaw,21351868_EA,24 g, $16.62/100g
loblaw,20314434001_EA,2 l, $0.40/100ml
loblaw,20894117005_EA,960 ml, $0.31/100ml
loblaw,21338219_EA,750 ml, $0.87/100ml
loblaw,20323489005_EA,4x123.0 g, $0.81/100g
loblaw,21182021_EA,946 ml, $0.90/100ml
loblaw,21122992_EA,24 ea, $1.00/1ea
loblaw,21598475_EA,400 g, $1.50/100g
loblaw,20167772002_EA,2.54 l, $0.26/100ml
loblaw,20823424_EA,200 ml, $0.90/100ml
loblaw,21363963_EA,340 g, $4.11/100g
loblaw,20163476003_EA,500 ml, $1.16/100ml
loblaw,20149139_KG,$12.10/1kg $5.49/1lb
loblaw,20126861_EA,500 g, $0.76/100g
loblaw,20591989_EA,700 g, $1.93/100g
loblaw,20317961001_EA,250 g, $2.80/100g
loblaw,21520140_EA,500 g, $0.80/100g
loblaw,21315340_EA,158 g, $3.16/100g
loblaw,20606778002_EA,16x100.0 g, $0.56/100g
loblaw,21085957_EA,235 ml, $1.91/100ml
loblaw,20617719_EA,400 g, $1.12/100g
loblaw,21029334_EA,900 g, $1.78/100g
loblaw,20718938_EA,75 ml, $7.99/100ml
loblaw,21339369_KG,$32.90/1kg $14.93/1lb
loblaw,21297816_EA,510 g, $0.57/100g
loblaw,20943027_EA,1.81 kg, $1.77/100g
loblaw,21466307_EA,75 g, $14.65/100g
loblaw,21160830_EA,224 g, $1.56/100g
loblaw,20652334_EA,500 g, $4.40/100g
loblaw,20610167001_EA,454 g, $4.40/100g
loblaw,21044341_EA,452 g, $2.43/100g
loblaw,20037399_C06,6x500.0 ml, $0.30/100ml
loblaw,21564720_EA,228 g, $15.35/100g
loblaw,20308534002_EA,4 l, $0.25/100ml
loblaw,21453323_EA,113 g, $5.74/100g
loblaw,21389092_EA,60 ea, $0.45/1ea
loblaw,20713454_EA,75 g, $4.39/100g
loblaw,21190726_EA,90 ea, $0.26/1ea
loblaw,20132369001_EA,500 g, $1.30/100g
loblaw,20967798_EA,150 g, $3.19/100g
loblaw,20595972_EA,1 l, $0.61/100ml
loblaw,21193609_EA,148 ml, $5.74/100ml
loblaw,21426524_EA,310 ml, $1.29/100ml
loblaw,21557164_EA,350 ml, $1.14/100ml
nofrills,20303954_EA,300 g, $2.83/100g
nofrills,20573910_EA,200 g, $3.65/100g
nofrills,20347440002_EA,1.75 l, $0.16/100ml
nofrills,20306914001_EA,2 l, $0.13/100ml
nofrills,21311220_EA,80 g, $4.99/100g
nofrills,20679863_EA,1010 g, $0.99/100g
nofrills,20608924_EA,12x100.0 g, $0.46/100g
nofrills,20051660001_KG,$11.00/1kg $4.99/1lb
nofrills,21547838_EA,375 g, $0.48/100g
nofrills,21021565_EA,227 g, $1.32/100g
nofrills,21209747_EA,650 g, $0.84/100g
nofrills,21495430_EA,500 g, $1.06/100g
nofrills,21193739_EA,168 g, $1.11/100g
nofrills,20032311001_EA,180 g, $1.66/100g
nofrills,21314825_EA,240 g, $1.66/100g
nofrills,20312942_EA,540 ml, $0.28/100ml
nofrills,21581144_EA,100 g, $4.99/100g
nofrills,20303412004_EA,12x100.0 g, $0.46/100g
nofrills,20141814001_KG,$6.35/1kg $2.88/1lb
nofrills,20937494_EA,20 g
nofrills,20615981001_KG,$4.39/1kg $1.99/1lb
nofrills,20985015001_EA,454 g, $1.54/100g
nofrills,20303504001_EA,350 ml, $0.85/100ml
nofrills,21101943001_EA,907 g, $0.99/100g
nofrills,20600927001_EA,1.362 kg, $0.29/100g
nofrills,20314667008_EA,150 g, $0.99/100g
nofrills,20008743001_KG,$3.95/1kg $1.79/1lb
nofrills,20067326001_EA,1 ea, $4.99/1ea
nofrills,20147627_EA,600 g, $1.83/100g
nofrills,20075900_EA,3 lb bag, $0.44/100g
nofrills,20690699001_EA,2 pack, $2.50/1ea
nofrills,20867050001_EA,1 ea, $1.29/1ea
nofrills,21184812_EA,28 g
nofrills,20145621001_EA,1 ea, $2.50/1ea
nofrills,20324095_C06,6x710.0 ml, $0.14/100ml
nofrills,21181365_EA,350 g, $1.43/100g
nofrills,20179252001_KG,$5.49/1kg $2.49/1lb
nofrills,21209126_EA,1 ea, $55.79/1ea
nofrills,20183528_EA,85 g, $0.39/100g
nofrills,20010072001_KG,$13.21/1kg $5.99/1lb
nofrills,21569986_EA,421 g, $2.85/100g
nofrills,21286278_EA,8 kg, $0.60/100g
nofrills,21247148001_EA,341 g, $1.47/100g
nofrills,21454049001_EA,75 g, $5.33/100g
nofrills,20606349001_EA,1.36 kg, $0.66/100g
nofrills,20026703001_KG,$6.59/1kg $2.99/1lb
nofrills,20052442_EA,500 ml, $0.80/100ml
loblaw,21457328_EA,250 ml, $2.00/100ml
loblaw,20637065_EA,398 ml, $0.50/100ml
loblaw,21364375_EA,300 g, $4.83/100g
loblaw,20322380002_EA,135 ml, $0.92/100ml
loblaw,20065214_EA,264 g, $3.03/100g
loblaw,20309358001_EA,375 g, $1.46/100g
loblaw,21361957_EA,132 g, $3.78/100g
loblaw,21589474_C04,4x355.0 ml, $0.63/100ml
loblaw,21351868_EA,24 g, $16.62/100g
loblaw,21425408_EA,796 ml, $0.54/100ml
loblaw,21002189_EA,208 g, $4.08/100g
loblaw,21599532_EA,350 g, $3.71/100g
loblaw,20659463_EA,225 g, $1.11/100g
loblaw,21377154_EA,70 g, $9.99/100g
loblaw,20183991003_EA,500 g, $1.00/100g
loblaw,20150089_EA,2 l, $0.36/100ml
loblaw,21570286_EA,384 ml, $2.60/100ml
loblaw,20307866006_EA,30 g, $8.30/100g
loblaw,21157585_EA,128 g, $3.51/100g
loblaw,20303133001_EA,68 g, $4.40/100g
loblaw,21283628_EA,27 g, $18.48/100g
loblaw,21358238_EA,990 ml, $2.02/100ml
loblaw,21000066_EA,750 ml, $2.27/100ml
loblaw,21203790_EA,108 ea, $0.08/1ea
loblaw,20923836_EA,60 ea, $0.42/1ea
loblaw,20955260_C06,6x500.0 ml, $0.69/100ml
loblaw,20736195_EA,200 g, $12.50/100g
loblaw,21010324_EA,165 g, $3.33/100g
loblaw,21427853_EA,237 ml, $7.59/100ml
loblaw,21433562_C04,4x355.0 ml, $0.56/100ml
loblaw,20853030001_EA,8x55.0 ml, $1.59/100ml
loblaw,20163476003_EA,500 ml, $1.16/100ml
loblaw,20149139_KG,$12.10/1kg $5.49/1lb
loblaw,20126861_EA,500 g, $0.76/100g
loblaw,20591989_EA,700 g, $1.93/100g
loblaw,20317961001_EA,250 g, $2.80/100g
loblaw,21520140_EA,500 g, $0.80/100g
loblaw,21315340_EA,158 g, $3.16/100g
loblaw,20606778002_EA,16x100.0 g, $0.56/100g
loblaw,21085957_EA,235 ml, $1.91/100ml
loblaw,20617719_EA,400 g, $1.12/100g
loblaw,21029334_EA,900 g, $1.78/100g
loblaw,20718938_EA,75 ml, $7.99/100ml
loblaw,21339369_KG,$32.90/1kg $14.93/1lb
loblaw,21297816_EA,510 g, $0.57/100g
loblaw,20943027_EA,1.81 kg, $1.77/100g
loblaw,21466307_EA,75 g, $14.65/100g
loblaw,21160830_EA,224 g, $1.56/100g
nofrills,20038235001_EA,227 g, $2.20/100g
nofrills,20067326001_EA,1 ea, $4.99/1ea
nofrills,20147627_EA,600 g, $1.83/100g
nofrills,20075900_EA,3 lb bag, $0.44/100g
nofrills,20690699001_EA,2 pack, $2.50/1ea
nofrills,20867050001_EA,1 ea, $1.29/1ea
nofrills,21184812_EA,28 g
nofrills,20145621001_EA,1 ea, $2.50/1ea
nofrills,20324095_C06,6x710.0 ml, $0.14/100ml
nofrills,21286278_EA,8 kg, $0.60/100g
nofrills,21247148001_EA,341 g, $1.47/100g
nofrills,21454049001_EA,75 g, $5.33/100g
nofrills,21111368001_EA,1 ea, $5.00/1ea
nofrills,20813711001_EA,12 eggs, $0.64/1ea
nofrills,20047449001_EA,1 bunch, $2.99/1ea
nofrills,20111763001_KG,$0.88/100g $8.80/1kg
nofrills,21218686_EA,500 g, $1.60/100g
nofrills,20600927001_EA,1.362 kg, $0.29/100g
nofrills,20008743001_KG,$3.95/1kg $1.79/1lb
nofrills,21284926_EA,1 kg
nofrills,20309425_EA,150 g, $0.99/100g
nofrills,21181365_EA,350 g, $1.43/100g
nofrills,20179252001_KG,$5.49/1kg $2.49/1lb
nofrills,21209126_EA,1 ea, $55.79/1ea
nofrills,20183528_EA,85 g, $0.39/100g
nofrills,20010072001_KG,$13.21/1kg $5.99/1lb
nofrills,20307900001_KG,$4.39/1kg $1.99/1lb
nofrills,20812144001_EA,12 ea, $0.32/1ea
nofrills,21569986_EA,421 g, $2.85/100g
nofrills,20606349001_EA,1.36 kg, $0.66/100g
nofrills,20026703001_KG,$6.59/1kg $2.99/1lb
nofrills,20052442_EA,500 ml, $0.80/100ml
nofrills,20775805_EA,227 g, $1.32/100g
nofrills,20107500001_EA,1 bunch, $1.79/1ea
nofrills,21121511001_EA,4x1.0 ea, $1.00/1ea
nofrills,20307569005_C12,12x355.0 ml, $0.16/100ml
nofrills,20430790001_KG,$6.59/1kg $2.99/1lb
nofrills,20166360001_KG,$6.59/1kg $2.99/1lb
nofrills,20288193_EA,425 g, $1.64/100g
nofrills,20905339001_EA,1.5 l, $0.40/100ml
nofrills,20305854_EA,200 g, $1.80/100g
nofrills,21308058_EA,35 g, $10.77/100g
nofrills,20866924010_EA,227 g, $1.32/100g
nofrills,20126567001_EA,176 g, $2.15/100g
nofrills,21594067_EA,75 g, $11.32/100g
nofrills,20145328_EA,250 ml, $0.80/100ml
nofrills,21240849_EA,130 g, $2.12/100g
nofrills,20650656_EA,1 l, $0.28/100ml
loblaw,20652334_EA,500 g, $4.40/100g
loblaw,20610167001_EA,454 g, $4.40/100g
loblaw,20972806_EA,800 g, $1.75/100g
loblaw,21154512_EA,300 ml, $5.33/100ml
loblaw,20971496_EA,363 g, $0.96/100g
loblaw,21454574_EA,296 ml, $3.14/100ml
loblaw,20983346_EA,237 ml, $2.95/100ml
loblaw,21506253_KG,$28.64/1kg $12.99/1lb
loblaw,21218152_EA,454 g, $2.20/100g
loblaw,20795392_EA,454 g, $0.88/100g
loblaw,20322953001_EA,453 g, $1.10/100g
loblaw,20815563001_EA,12 eggs, $0.52/1ea
loblaw,20035026_EA,60 ea, $0.42/1ea
loblaw,21027918_C12,12x40.0 g, $4.58/100g
loblaw,21079476_EA,600 g, $1.33/100g
loblaw,21417389_EA,500 g, $1.40/100g
loblaw,21398777_EA,275 g, $2.91/100g
loblaw,21460123_EA,828 ml, $0.93/100ml
loblaw,20602609002_EA,85 g, $2.11/100g
loblaw,20794707_EA,750 g, $0.44/100g
loblaw,21164444_EA,370 g, $2.70/100g
loblaw,21457057_EA,640 g, $2.03/100g
loblaw,20912237_EA,375 ml, $2.13/100ml
loblaw,21004389_EA,1.5 kg, $1.17/100g
loblaw,20170592_KG,$17.61/1kg $7.99/1lb
loblaw,20702979_EA,473 ml, $0.32/100ml
loblaw,20501685001_EA,368 g, $1.08/100g
loblaw,21416390_EA,405 g, $2.34/100g
loblaw,20636824_EA,1 kg, $0.80/100g
loblaw,21384112_EA,720 g, $1.80/100g
loblaw,20724507_EA,375 g, $2.40/100g
loblaw,20311313003_EA,350 ml, $1.51/100ml
loblaw,21449731_EA,2 kg, $0.55/100g
loblaw,20313853_EA,500 ml, $1.40/100ml
loblaw,20991187_EA,355 ml, $1.83/100ml
loblaw,21580530_EA,132 g, $9.08/100g
loblaw,21289775_EA,400 g, $1.70/100g
loblaw,21480888_EA,14.4 g, $76.32/100g
loblaw,20794367_EA,553 g, $2.53/100g
loblaw,20323473002_EA,350 ml, $1.23/100ml
loblaw,21337522_EA,225 g, $4.66/100g
loblaw,20315236002_EA,2 l, $0.20/100ml
loblaw,21527821_EA,300 g, $2.67/100g
loblaw,21432777_EA,378 ml, $1.32/100ml
loblaw,21100221_EA,480 g, $5.21/100g
loblaw,20503378_EA,360 g, $2.22/100g
loblaw,21544187_EA,300 g, $1.50/100g
loblaw,21244233_EA,390 g, $2.82/100g
nofrills,21504801_EA,200 g, $2.15/100g
nofrills,21315432_EA,396 g, $0.98/100g
nofrills,21520200_EA,1 kg, $0.68/100g
nofrills,21242388_EA,946 ml, $0.61/100ml
nofrills,20138772_EA,750 g, $0.47/100g
nofrills,21091494_EA,38 ml, $14.45/100ml
nofrills,21306298_EA,680 ml, $1.37/100ml
nofrills,20845806001_EA,300 g, $2.83/100g
nofrills,20113612_KG,$12.10/1kg $5.49/1lb
nofrills,21447366_EA,504 g, $0.57/100g
nofrills,21050852_EA,235 g, $1.61/100g
nofrills,21380277_EA,4 l, $0.42/100ml
nofrills,21478018_EA,900 g, $1.78/100g
nofrills,21591604_EA,1.5 l, $0.57/100ml
nofrills,21445063_EA,473 ml, $0.74/100ml
nofrills,20099204_EA,375 g, $1.46/100g
nofrills,20322156005_EA,540 ml, $0.31/100ml
nofrills,20314434013_EA,2 l, $0.24/100ml
nofrills,20311286_EA,90 g, $2.54/100g
nofrills,20298178_EA,500 g, $1.00/100g
nofrills,21590961_C06,6x330.0 ml, $0.35/100ml
nofrills,21529915_EA,270 g, $1.48/100g
nofrills,21062407_EA,132 g, $1.49/100g
nofrills,20155660_EA,1 l, $0.56/100ml
nofrills,21408855_EA,120 g, $2.49/100g
nofrills,21366170_EA,675 g, $1.18/100g
nofrills,20874702_EA,560 g, $0.62/100g
nofrills,20867488_EA,1 kg, $1.30/100g
nofrills,20308043002_EA,500 ml, $1.06/100ml
nofrills,21446961_EA,335 g, $3.28/100g
nofrills,21384618_EA,905 g, $0.47/100g
nofrills,21164182_C08,8x355.0 ml, $0.19/100ml
nofrills,21506459_EA,150 g, $1.50/100g
nofrills,21082799_EA,320 g, $1.72/100g
nofrills,20117581002_EA,8x120.0 ml, $0.51/100ml
nofrills,20145411_EA,1.25 kg, $0.80/100g
nofrills,21076606_EA,375 g, $3.60/100g
nofrills,21293080_EA,241 g, $2.28/100g
nofrills,21560158_EA,0.315 kg, $1.90/100g
nofrills,20711924_EA,30 g, $26.63/100g
nofrills,21195403_EA,150 g, $5.19/100g
nofrills,20313061001_EA,4 l, $0.03/100ml
nofrills,20911558_EA,200 g, $2.50/100g
nofrills,21102727_EA,400 g, $1.25/100g
nofrills,20521370_EA,375 g, $1.86/100g
nofrills,21528504_EA,380 g, $0.87/100g
nofrills,20618679_EA,100 g, $1.29/100g
